"Starks et al.","2016","USA","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,"IPV",,,"sex_comp",,,"CSA","polysubstance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","Depression subscale of the Brief Symptom Inventory","65 (T-score)",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV","sexual_IPV",,"psychological_IPV",,,,"Past 5 years",,,,,,,,,,,,,,,,,,,,,,"Scale","Kalichman Sexual Compulsivity Scale","Continuous",,"Definition","Any unwanted sexual experience before 18 years old",,"More than one category of substance use","Marijuana included","Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,,,,,,,,,,,"outcome_non_disclosure","outcome_current_CAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"200","31.2","No",,"No",,"The sum of syndemic conditions experienced by the partners in a couple was associated with condomless sex during first sexual intercourse and with non-disclosure of HIV status prior to first condomless anal sex",,,,,,
"Li et al.","2016","China","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression","substance_use",,,,,"sex_comp","anxiety",,,,,,,,,,,,,,,,"sexual_risk",,"social_support",,,,,"loneliness","subordination","esteem",,,"impulsivity",,,,,,,,,,,"Scale","CESD","23","stimulants","ecstasy",,"marijuana",,,,,,"Lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GAD","Scale",,,,,,"GAD-7",,,,"10","Scale","Kalichman Sexual Compulsivity Scale","24",,,,,,,,,,,,,,,,,,,,,,,,,,"number_partners","CAS",,,,,,,,,"Not specified",,,,,,"Scale","Multiple Scales of Perceived Social Support","50","Score below 15 on the Rosenberg Self-Esteem Scale","Score greater than 92 on the Involuntary Subordination Questionnaire","Score greater than 18 on the UCLA Loneliness Scale (ULS-8)",,,,,,,,,,,"75th percentile of the Eysench Impulsive Scale",,,,,,,,,,,,,,,,,,,,,,,,,"outcome_suicide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_ideation",,,"Past year",,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"547","30.5","No",,"No",,"A higher number of syndemic conditions was associated with greater suicidal ideation among MSM, especially when the number of syndemic conditions reaches five. Among these conditions, only involuntary subordination and sexual risk taking remained significant in multivariate analysis",,,,,,
"Pitpitan et al.","2016","Mexico","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression","substance_use",,,,,"sex_comp",,,,,,,"internalised_homophobia",,,,,,,,,,,,,,,"violence",,,,,,,,,,,,,,,,,,"Scale","BDI-II","17","stimulants","ecstasy","hallucinogens",,"depressants",,"opioids","inhalants",,"Lifetime",,,,"physical","sexual",,,"psychological",,"Lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","Kalichman Sexual Compulsivity Scale","24",,,,,,,,,,,"Score equal or greater than 19 on the 9-items Internalized Homophobia Scale (IHP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,,,,,,,,,"outcome_casual_CAS",,,,,,,"Past 2 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,"moderation",,,,,,,"191","30","No",,"No",,"The number of syndemic conditions was associated with higher odds of engaging in condomless anal sex with a stranger. This effect was more pronounced in MSM who are out to less than 50% of their acquaintances",,,,,,
"Chakrapani et al.","2019","India","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,,"substance_use",,,,,,,,,,,,,,,,"alcohol_use",,,,,,,,,,,"violence",,,,,,,,,,,,,,,,,,,,,,,,"marijuana",,,"opioids",,,"Past 12 months",,,,"physical","sexual",,,,,"Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"frequency_intensity",,,,"Past week",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,,,,,,,,,,,,,"Past month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RERI",,,"product_term",,,"mediation",,"path",,,,"22297",,"No",,"No",,"In this population-based study of Indian MSM, the authors found empiric support to three models of interacting epidemics : synergistically interacting epidemics, serially causal epidemics and mutually causal epidemics, with the strongest support for the model of synergistically interacting epidemics",,,,,,
"Pantalone et al.","2018","USA","Cross-sectional",,"Yes",,,,,,"HIVMSM",,,,,,,"No",,,,,,,,,"IPV",,"suicide",,,,"CSA","polysubstance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale",,,,,,,"CTS2","Continuous",,,,"suicide_attempts",,,"Lifetime",,,,,,,,,,,,,,,,,,,"Scale","Sexual abuse subscale of the Childhood Maltreatment Interview Schedule - Short Form (CMIS-SF)","Endorsement of any one item","At least 3 categories of substance use","Marijuana not included","Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_adherence",,"outcome_sexual_risk",,,,,,,"outcome_healthcare",,,,,,,,,,,,,"Self-reported adherence ","Criteria",,,,,,"outcome_serodiscodant_CAS",,,,,,,,,,,"Past 6 weeks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"inpatient_admission",,,,,,,,,"score",,,,,,,,,,,,,,"166","44.1","No",,"No",,"In this sample of MSM living with HIV, the number of syndemic conditions was associated with ART adherence, having one syndemic condition was associated with inpatient medical admissions in the past year. Serodiscordant condomless anal sex was not associated with the syndemic count variable",,,,,,
"Mimiaga et al.","2015","Latin America","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,"IPV",,"suicide","sex_comp",,,"CSA",,,"AUD",,,,,,,,,,,,,,,,,,,,,,"chemsex",,,,,,,,,,,,"Scale","CESD-10","10",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV","sexual_IPV",,"psychological_IPV",,,,"Past 5 years",,,"suicidal_thoughts",,,,"Past month",,,,,,,,,,,,,,,"Scale","Kalichman Sexual Compulsivity Scale","24",,"Definition","Any unwanted sexual experience before 18 years old",,,,,,"CAGE","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"chem_stimulants","chem_ecstasy","chem_depressants","chem_ketamine","chem_opioids",,,,"Past 3 months",,,,,,,,,,,,,"outcome_sexual_risk",,"outcome_HIV",,,,,,,,,,,,,,,,,,,"Criteria",,,,,,"outcome_serodiscodant_CAS",,,,,,,,,,,"Past 3 months",,,,,"Self-report of HIV status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"24274","30.4","No",,"No",,"he number of syndemic conditions was associated with higher odds of engaging in CAS and self-report of HIV diagnosis",,,,,,
"Tulloch et al.","2015","Canada","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,"IPV",,,,,,,"polysubstance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","CESD","16",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV",,,,,,,"Lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"At least 3 categories of substance use","Marijuana included","Past 6 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,,,,,"outcome_serodiscodant_CAS",,,,,,,,,,,"Past 6 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,"mediation",,,,,,"239","44.2","No",,"No",,"The number of syndemic conditions mediated the relationship between childhood physical abuse and sexual risk as well as between verbal victimization and sexual risk",,,,,,
"Parsons et al.","2015","USA","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,"IPV",,,"sex_comp",,,"CSA","polysubstance",,,,,,,,,,,,,,,,,,,,,,,,,,"hypersexuality",,,,,,,,,,"Scale","Depression subscale of the Brief Symptom Inventory","0.5 (raw-score)",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV","sexual_IPV",,"psychological_IPV",,,,"Past 5 years",,,,,,,,,,,,,,,,,,,,,,"Scale","Kalichman Sexual Compulsivity Scale","24",,"Definition","Any unwanted sexual experience before 17 years old with someone at least 10 years older",,"At least 3 categories of substance use","Marijuana included","Past 6 weeks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Having 4 out of 5 symptoms from section A of the HDSI and at least 1 symptom of the section B",,,,,,,,,,,"outcome_sexual_risk",,"outcome_HIV",,,,,,,,,,,,,,,,,,,"Criteria",,,,,,"outcome_serodiscodant_CAS",,,,,,,,,,,"Past 6 weeks",,,,,"Laboratory-confirmed test or quick testing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,"mediation",,,,,,"368","37","No",,"No",,"In this sample of highly sexually active MSM, sexual compulsivity and hypersexuality seemed to act as a syndemic condition associated with an increase in HIV risk rather than as a mediator of syndemic conditions on HIV risk. Furthermore, these findings provide support for a three group conceptualization of hypersexuality and sexual compulsivity (one, both or none)",,,,,,
"Buttram et al.","2015","USA","Mixed (specify)","Quantitative cross-sectionnal and qualitative analysis with grounded theory","Yes",,,"BMSM",,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"substance_use_disorder",,,,"violence",,,,,,,,,,,"distress",,,,,,,,,,,,,,,,,,,,,,,"physical","sexual",,,"psychological",,"Lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Criteria","Clinical diagnosis based on the DSM-IV",,,,,,,,,,,,,,,,,,,,,,,,"Use of the General Mental Distress Scale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108","39.3","No",,"No",,"Compared to White MSM, Black MSM experienced a wide range of disparities such as substance use, substance use disorder, exchange sex, unstable housing, unemployment, low educational attainment, arrest history, low social support and low satisfaction with one's living situation",,,,,,
"Friedman et al.","2015","USA","Longitudinal",,"Yes",,,,,,"HIVMSM",,,,,,,"No",,,,,,"depression",,,,,,,,,,"polysubstance",,,,,,,,,,,,,"sexual_risk",,,,,,,,,,,,,,,,,,,,,,,"Scale","CESD","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"More than one category of substance use","Marijuana included","Past 6 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,"casual_CAS","Not specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_adherence",,,,,"outcome_VL",,,,,,,,,,,,,,,,,"Self-reported adherence ",,,,,,,,,,,,,,,,,,,,,,,,"> 50 HIV RNA copies/mL, assessed via laboratory confirmation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78","score",,,,,,,,"mediation","SEM",,,,,"766",,"No",,"No",,"In this longitudinal study, the sum of syndemic conditions was associated with lower ART adherence and higher viral load among MSM living with HIV. Furthermore, the effect of syndemic conditions on viral load was partially mediated by ART adherence.",,,,,,
"Hirshfield et al.","2015","USA","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,,,,,,,,"polysubstance",,,,"incarceration",,,"alcohol_use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","PHQ-2","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"At least 3 categories of substance use","Marijuana included","Past 2 months",,,,,"History of incarceration, lifetime",,,,,,"early",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,,,,,,,,,,,,,"outcome_group_sex",,,"Past 2 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"7158",,"No",,"No",,"MSM with encounters with 4 or more partners constitute a particularly high risk subgroup of MSM,  with more condomless anal sex, polysubstance use, STI diagnosis and HIV prevalence. Furthermore, a higher count of syndemic conditions was associated with odds of participating in encounters with 4 or more partners.",,,,,,
"Mimiaga et al.","2015","USA","Longitudinal",,"No",,,,,,,,,,,,,"No",,,,,,"depression","substance_use",,,"binge",,,,,"CSA","polysubstance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","CESD-SF","13","stimulants",,,,,,,,,"Past 6 months",,,,,,,,,,,,,,,,,,,,"Having at least 4 drings everyday on at least 6 drinks on a typical drinking day","Not specified",,,,,,,,,,,,,,,,,,,,,,,,"Definition","Any unwanted sexual experience before 13 years old with someone > 5 years older or between 13 and 17 years old with someone > 10 years older",,"At least 3 categories of substance, excluding stimulants","Marijuana included","Past 6 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,"outcome_HIV",,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,,,,,,,,,,,,,"Past 6 months",,,,,"Laboratory-confirmed test or quick testing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48","score",,,,,,,,"mediation",,,,,,"4295","34","No",,"No",,"In this longitudinal study, experiencing a greater number of syndemic conditions was associated with higher odds of HIV seroconversion over the 4-years follow-up and this effect was partially mediated by sexual risk behaviors",,,,,,
"Halkitis et al.","2015","USA","Longitudinal",,"Yes",,"YMSM",,,,,,,,,,,"No",,,,,,"depression","substance_use","PTSD",,,"suicide",,,,,,,,,,,,"alcohol_use",,,,,,"sexual_risk",,,,,,,"loneliness",,,,,,,,,,,,,,,,"Scale","BDI-II","Continuous","stimulants","ecstasy","hallucinogens","marijuana","depressants",,"opioids","inhalants",,"Past month","Scale","Trauma Awareness & Treatment Center scale","Continuous",,,,,,,,,,,,,,,,,,,"suicidal_thoughts",,,,"Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"consumption",,"Past month",,,,,,,,"CAS",,,"COS",,,,,,"Past month",,,,,,,,,,,"Scores on the UCLA Loneliness Scale (continuous)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36",,,,,,,,,,,,"CFA",,,"425",,"No",,"No",,"There was an increased use of substance and sexual risk behaviors with increasing age of this cohort of YMSM. Furthermore, the relative contribution of the syndemic indicator variables on the latent constructs varied accros time while still loading onto one latent construct across the four time points",,,,,,
"Herrick et al.","2014","USA","Longitudinal",,"Yes",,"YMSM",,,,,,,,,,,"No",,,,,,"depression","substance_use",,,"binge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","CESD","16","stimulants","ecstasy","hallucinogens",,"depressants",,"opioids",,,"Past 3 months",,,,,,,,,,,,,,,,,,,,"At least one episode","Past month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,,,,,,,,,,,,,"Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24","score",,,,,,,,"mediation",,,,,,"470","20.14","No",,"No",,"A greater number of syndemic conditions was associated with increased odds of sexual risk behaviors. Furthermore, experiences of adversity play an important role  in syndemic formation and syndemic conditions mediate the pathway from adversity to sexual risk behaviors",,,,,,
"Starks","2014","USA","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,"IPV",,,"sex_comp",,,"CSA","polysubstance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","CESD","23",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV",,,"psychological_IPV",,,,"Past 5 years",,,,,,,,,,,,,,,,,,,,,,"Scale","Kalichman Sexual Compulsivity Scale","24",,"Definition","Any unwanted sexual experience before 17 years old with someone at least 10 years older",,"At least 3 categories of substance use","Marijuana included","Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LCA_LPA",,,,,,,,,,"CFA",,,"669","37.7","No",,"No",,"In this study, constraining factor loadings to be equal, as it is done with summary score of syndemic conditions, significantly reduced model fit. In the other hand, a latent class analysis produced two ordinal categories of low syndemic burden and high syndemic burden, which is consistent with an underlying unidimensional syndemic stress factor",,,,,,
"Guadamuz et al.","2014","Thailand","Longitudinal",,"No",,,,,,,,,,,,,"No",,,,,,,"substance_use",,,,"suicide",,,,,,,,,,,,"alcohol_use","exchange_sex",,,,,,,"social_support",,,"violence",,,,,,,,,,,,,,,,,,,,,"stimulants","ecstasy","hallucinogens",,"depressants",,,"inhalants",,"Past 4 months",,,,,"sexual",,,,,"Lifetime",,,,,,,,,,,,"suicidal_thoughts","suicide_attempts",,,"Lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"intoxication",,,"Past 4 months",,,"Having received money, gifts or valuables in exchange for sex in the past 4 months",,,,,,,,,,,,,,,,,,,,"Criteria","Currently not having either a close friend or family member to talk in case of personal problems",,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,"outcome_HIV",,,,,,,,,,,,,,,,,,,"Scale",,"outcome_CAS",,,,,,,,,,,,,,,"Past 4 months",,,,,"Laboratory-confirmed test or quick testing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"1292","27","No",,"No",,"A higher number of syndemic conditions was significantly associated with greater odds of condomless anal sex, a higher HIV prevalence and a higher HIV incidence",,,,,,
"O'Leary et al.","2014","USA","Cross-sectional",,"Yes",,,"BMSM",,,,,,,,,,"No",,,,,,"depression",,,"IPV",,,,,,"CSA",,,"AUD",,,,,,,,,,,,"substance_use_disorder",,,,,,,,,,,,,,,,,,,,,,"Scale","CESD-5","1",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV","sexual_IPV",,,,,,"Lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","WSHQ-CSA",,,,,,"CAGE","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","TCUDS","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,"outcome_HIV",,,,,,,,,,,,,,,,,,,"Criteria",,,,,,"outcome_serodiscodant_CAS",,,,,,,,,,,,,,,,"Self-report of HIV status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"593",,"No",,"No",,"Experiencing a higher number of syndemic conditions was associated with greater odds of engaging in condomless anal sex and a higher prevalence of self-reported positive HIV status. Optimism and education buffered the relationship between syndemic conditions and self-reported HIV status but other resilience factors (connection to gay community, religiosity, Black pride and income) did not. Furthermore, none of the resilience factors buffered the relationship between syndemic conditions and sexual risk behaviors",,,,"resilience",,
"Santos et al.","2014","International","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression","substance_use",,,,,,,,,,,,,,"unstable_housing",,,,"discrimination",,,"healthcare_access",,,,,,"violence",,,,,,,,,,,,,,,,,,"Criteria","Not specified",,,,,,,,,,"not_specified",,,,,,,,,,"not_specified_violence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not specified",,,,,,,,,,"Not specified",,,,,,,,,,,,,,,,,"Perceived HIV-related stigma from healthcare providers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,"outcome_HIV",,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,,,,,,,,,,,,,,,,,,"Self-report of HIV status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3934","35","No",,"No",,"Experiencing a higher number of syndemic conditions was associated with higher odds of engaging in condomless anal sex and self-reported positive HIV status",,,,,,
"Mustanski","2014","USA","Cross-sectional",,"Yes",,"YMSM",,,,,,,,,,,"Yes","MSMW_dis",,,,,"depression","substance_use",,"IPV","binge",,,,,,,,,,,,,,,,,,,"sexual_risk",,,,,,,,,,,,,,,,,,,,,,,"Criteria","During the past 12 months having felt so sad or hopeless almost every day for 2 weeks in a row that the respondent stopped doing some usual activities",,"stimulants",,,"marijuana",,,,,,"Past month",,,,,,,,,,,"Criteria","physical_IPV",,,,,,,"Past month","At least 3 episodes","Past month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"number_partners","CAS",,,,,,,,,"Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_suicide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_serious_attempts","Past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEM",,"CFA",,,"16977","16.14","No",,"No",,"Experiences of victimization and bullying increased the syndemic burden of all youths and subsequently syndemic burden increased suicide attempts. These findings held true for young men who have sex with women (YMSW), young men who have sex with men (YMSM) and young men who have sex with men and women (YMSMW). However, these relationships were much stronger among sexual minority youths and syndemic conditions clustered with particular strength among YMSMW",,,,,,
"Ferlatte et al.","2014","Canada","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,,,,,,,,,,,,,,,,,,,,,,"substance_use_disorder",,,,,,"loneliness",,,,,,,,,,,,,,,,"Criteria","Feeling snap and unable to snap out of it for most of the time or being in treatment for depression",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Criteria","Thoughts of doing too much or wanting to reduce substance use",,,,,,,,,"Feeling lonely and starved for compagny most of the time",,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,,,,,"outcome_serodiscodant_CAS",,,,,,,,,,,"Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"1470","25.7","No",,"No",,"Experiencing multiple anti-gay experiences was associated with syndemic conditions : a greater number of syndemic conditions was then subsequently associated with greater odds of engaging in serodiscordant condomless anal sex",,,,,,
"Biello et al.","2014","Vietnam","Cross-sectional",,"Yes",,,,,,,,,,"MSM-SW",,,"No",,,,,,"depression","substance_use",,,,,,,,"CSA",,,"AUD",,,,,,,,,,,,,,,,"violence",,,,,,,,,,,,,,,,,,,"CESD-10","10",,,,,,,,,"not_specified","Past month",,,,,"sexual",,,,,"Lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Definition","Any unwanted sexual experience before 18 years old",,,,,,"AUDIT-10","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,,,,,,,,,,,,,"Past month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"300","22.3","No",,"No",,"Experiencing a higher number of syndemic condition was associated with greater odds of engaging in condomless anal sex in this sample of Vietnamese male sex workers who have sex with men. This relationship was mainly driven by childhood sexual abuse and alcohol use disorder",,,,,,
"Vanden Berghe et al.","2014","Belgium","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,,,,,,,,,,,,,,,,,,,,,"sexual_risk",,,,,,,,,,,"chemsex",,,,,,,,,,,,"Scale","CESD","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kalichman_SSSS",,,,,,,,,,,,,,,,,,,,,"chem_stimulants","chem_ecstasy","chem_depressants",,,"chem_poppers","chem_erection","chem_alcohol","Past 6 months",,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,,,,,,,,,,,,,"Past 6 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"moderation",,,,,,,"591","35","No",,"No",,"Depressive symptoms and sexual sensation seeking were more present in MSM who engaged in condomless anal sex in the past 6 months while use of alcohol or substance or alcohol just before or during sex was not. However, this study found no evidence that depressive symptoms moderated the effect of risk perception of condomless anal sex on engaging in condomless anal sex.",,,,,,
"Friedman et al.","2014","USA","Cross-sectional",,"No",,,,,,,,,,,,,"Yes","MSMW_dis",,,,,"depression",,,,,,"sex_comp",,,,,,,,,"unstable_housing",,,,,,,,,,,,,"violence",,,,,,,,,,,,,,,,,,"Scale","The Depression Symptom Scale (DSS-9)","Not specified",,,,,,,,,,,,,,"physical","sexual",,,"psychological",,"Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","Kalichman Sexual Compulsivity Scale","24",,,,,,,,,,,,,"Homelessness, in the past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_exhange_sex","outcome_sexual_risk",,,,,,,,,,,,,,"outcome_chemsex",,,,,"Being given drugs, money or gifts in exchange for sex in the last 12 onths or using drugs, money or gifts to purchase sex in the past 12 months",,"Criteria",,,,,,"outcome_serodiscodant_CAS",,,,,,,,,,,"Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Engaging in binge drinking or using methamphetamine, crack, cocaine, ecstasy or marijuana before having sex with a man in the past 3 months. Or being drunk or high at least almost all the time during sex with a man in the past 3 months",,,,,,,,"score",,,,,,,,,,,,,,"595",,"No",,"No",,"Among MSMW, syndemic conditions explained 31,1% of the variance in exchange sex but only 3.6% of the variance in chemsex. Exchange sex, in turn was associated with serodiscordant condomless anal sex while chemsex alone was not. Furthermore no direct association between syndemic conditions and serodiscodant condomless anal was found",,,,,,
